# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
00401470	RegionInit
004014c0	RegionBindSceneTables
00401510	RegionLoadDelta
004015a0	RegionUnloadDelta
00401630	EvtOpRegionEnter29
00401670	EvtOpRegionLoad28
004016b0	VecToAngles	writes BAMS pitch/yaw; yaw = atan2(dx, dz)
004018e0	MatrixGetAngles	Decompose the matrix stack's top rotation into a BAMS {pitch, yaw, roll} triple. Transforms (0,0,1) and hands it to VecToAngles for pitch and yaw; then transforms (1,0,0), cancels Rx(-pitch).Ry(-yaw) off it and takes fpatan of the result for roll. Read by RescueTargetHeldState (on the rescue) and by the stage-2 car rig FUN_00452320, whose wheels hang off a roll-limited copy of the body frame built from this triple.
00401ae0	MatrixToEulerBams	matrix -> (rx, ry, rz) BAMS decomposition
00401d70	VecAngleBetween	atan2(|a x b|, a.b) for two vec3s, returned in BAMS. ComputeLookAtAngleError uses it to index the camera turn-rate curve, and TurnLookAtToward to size its slerp step.
00401df0	VecCosSquaredSigned	dot(a,b)^2 / (|a|^2 * |b|^2), negated when the dot is negative -- the square of the cosine, never rooted. The camera hooks' `> 0.99999` convergence tests are against this value, so the threshold is about 0.18 degrees, not 0.26.
00401e60	LerpWeighted	(num * b + den * a) / (num + den). CameraEaseBlockEyeToPathPose and CameraEaseEyeToPath call it with (1, 15) -- one sixteenth of the way from a to b per frame.
00401f40	UpdateSceneViewAndLight	UpdateSceneViewAndLight() -- the per-frame scene update, run before anything draws. Three jobs.  1. For each of the two player camera blocks (base 0x009A6000, stride 0x69 dwords): build the view matrix from the block's position and its Y-then-X rotation, hand it to FUN_004A9BD0/FUN_004A8CA0, write the settled position back, then build the INVERSE (negated roll, X, Y, translation) into the block's second matrix slot. For the active player (g_current_player_view, DAT_009C6F00) it also transforms (0, DAT_009CA0E4, -1000) by that matrix and passes it to FUN_00403AC0.  2. MatrixStackSetTopFromArray(active view), then BuildSceneLightDirection(g_scene_light_pitch_bams, g_scene_light_yaw_bams, &g_scene_light_block0, &g_scene_light_dir_view) and SetRenderLightDirection(&g_scene_light_dir_view) -- note the VIEW-space vector is what reaches the device. FUN_0040E160 then rebuilds it again for the shadow/projection copy at 0x009A21E0.  3. **Latches the scene state**: g_scene_state_major_entered = g_scene_state_major and the same for minor. That is the pair IsPlayerAttackable reads, so 'entered' means 'as of the start of this frame's update', one frame behind a state change made during the frame. Finally bit 0 of DAT_009A5900 is set unless (major == 1 && DAT_009C8E98 != 5 && !(DAT_009A5900 & 0x30)).  The colour and ambient are NOT pushed here -- FUN_0040AD90 does that, with SetRenderLightColour/SetRenderAmbient, and SetLightingDefaultSingle turns them into the D3DLIGHT7.
